"番号","地区","品目","形式","材質","可燃ごみ","不燃ごみ","有害ごみ","プラスチック資源","資源","粗大ごみ","小型家電回収ボックス","集積所不可(直接搬入のみ可)","市では処理できないごみ","処理できない形式・材質","備考"
"1423","朝霞市","電気コンロ","","","","◎","","","","○","☆","","○","作り付けのものは不可。","50cm以上のものは粗大ごみ。"
"1424","朝霞市","電気スタンド(デスクライト)","","","","○","","","","◎","","","","","蛍光管、電球は取り外してください。"
"1425","朝霞市","電気ストーブ","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"1426","朝霞市","電気バケツ","","","","○","","","","◎","","","○","家電リサイクル法対象品目は不可。","50cm未満のものは不燃ごみ。"
"1427","朝霞市","電気ファンヒーター","","","","○","","","","◎","","","","","事故の原因となるため、燃料式は必ず燃料を使い切ってください。50cm未満のものは不燃ごみ。"
"1428","朝霞市","電気フライヤー(ノンフライヤー)","調理器具","","","◎","","","","","","","","",""
"1429","朝霞市","電気ポット","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"1430","朝霞市","電気毛布","","","","","","","","◎","","","","","50cm未満に切っても粗大ごみ。"
"1431","朝霞市","電球","電球型蛍光灯","","","","◎","","","","","","","",""
"1432","朝霞市","電球","白熱球、LED電球","","","◎","","","","","","","","",""
"1433","朝霞市","電子辞書","","","","◎","","","","","☆","","","","電池を取り外してください。"
"1434","朝霞市","電子書籍端末","","","","◎","","","","","☆","","","","電池を取り外してください。"
"1435","朝霞市","電子体温計","","","","◎","","","","","☆","","","","電池を取り外してください。"
"1436","朝霞市","電子たばこ","","","","","◎","","","","","","","充電池内蔵式は有害ごみ",""
"1437","朝霞市","電磁調理器(クッキングヒーター)","","","","◎","","","","○","☆","","○","作り付けのものは不可。","50cm以上のものは粗大ごみ。"
"1438","朝霞市","電子手帳","","","","◎","","","","","☆","","","","記録等を消去し、電池を取り外してください。"
"1439","朝霞市","電子ピアノ","据置型","","","","","","","","","","◎","分解しても不可。","卓上型は「キーボード」参照。"
"1440","朝霞市","点字用紙","","紙製","◎","","","","","","","","","",""
"1441","朝霞市","電飾コード","クリスマスツリー用等","","","◎","","","","","☆","","","","束ねて縛ってください。"
"1442","朝霞市","電子レンジ","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"1443","朝霞市","天体望遠鏡","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"1444","朝霞市","電卓","電池式、ソーラー式","","","◎","","","","","☆","","","","電池式は電池を取り外してください。"
"1445","朝霞市","電池","乾電池","","","","◎","","","","","","","",""
"1446","朝霞市","電池","充電式電池、ボタン電池（形式記号：SR、PR、LR）","","","","〇","","","","","","◎","","販売店、リサイクル協力店等のボックス回収等をご利用ください。回収協力店が近くにない場合は、有害ごみ。"
"1447","朝霞市","点滴バッグ、チューブ類","在宅医療用","","◎","","","","","","","","○","注射針、内蔵針が残っているものは不可。","注射針、内蔵針は取り外して掛かりつけの医療機関に返却してください。バッグ、チューブは50cm未満に切って可燃ごみ。"
"1448","朝霞市","テント","キャンプ用等","","","","","","","◎","","","","",""
"1449","朝霞市","電動アシスト自転車","","","","","","","","◎","","","","","バッテリーは、取り外して販売店、回収協力店などの回収ボックスをご利用ください。"
"1450","朝霞市","電動泡立て器(ハンドミキサー)","調理器具","","","◎","","","","","☆","","","","電池を取り外してください。"
"1451","朝霞市","電動糸のこ","","","","","","","","","","","◎","",""
"1452","朝霞市","電動かんな","","","","","","","","","","","◎","",""
"1453","朝霞市","電動字消器","文房具","","","◎","","","","","☆","","","","電池を取り外してください。"
"1454","朝霞市","電動ドライバー","","","","◎","","","","","","","○","仕事で使用したものは不可",""
"1455","朝霞市","電動ドリル","","","","◎","","","","","","","○","仕事で使用したものは不可","50cm以上のものは粗大ごみ。"
"1456","朝霞市","電動のこぎり","","","","◎","","","","○","","","○","仕事で使用したものは不可","収集時に危険のないよう、紙などに包み「キケン」と表示してください。50cm以上のものは粗大ごみ。"
"1457","朝霞市","電動歯ブラシ","電池式、充電式","","","◎","〇","","","","☆","","","充電池内蔵式は有害ごみ","電池式は電池を取り外してください。"
"1458","朝霞市","電動バリカン","電池式、充電式、電気式","","","◎","〇","","","","☆","","","充電池内蔵式は有害ごみ","電池式は電池を取り外してください。"
"1459","朝霞市","電動丸のこ","","","","","","","","","","","◎","",""
"1460","朝霞市","電波時計","電池式、ソーラー式","","","◎","","","","","☆","","","","電池式は電池を取り外してください。"
"1461","朝霞市","天ぷら油","","","◎","","","","","","","","○","液体のままのものは不可。","油固化剤で固めるか、古紙、古布等に染み込ませてください。"
"1462","朝霞市","天ぷらガード","","アルミニウム製等","","◎","","","","","","","","","50cm未満に切ってください。"
"1463","朝霞市","テンプレート定規","","","","◎","","","","","","","","",""
"1464","朝霞市","電話機","","","","◎","","","","","☆","","","","ファクシミリ機能付を含む。"
"1465","朝霞市","電話台","家具","","","","","","","◎","","","","",""
"1466","朝霞市","電話帳","","","","","","","◎","","","","","",""
"1467","朝霞市","戸","","木製","","","","","","","","","◎","",""
"1468","朝霞市","戸","","スチール製、アルミ製","","","","","","","","","◎","",""
"1469","朝霞市","ドア(扉)","","木製","","","","","","","","","◎","",""
"1470","朝霞市","ドア(扉)","","スチール製、アルミ製","","","","","","","","","◎","",""
"1471","朝霞市","ドアストッパー","","","","◎","","","","","","","","",""
"1472","朝霞市","ドアノブ","","","","◎","","","","","","","","",""
"1473","朝霞市","樋(とい)","","","","","","","","","","","◎","",""
"1474","朝霞市","砥石(といし)","家庭用","","","◎","","","","","","","○","仕事で使用したものは不可",""
"1475","朝霞市","トイレ","設置型(洋式、和式)","陶磁器製等","","","","","","","","","◎","",""
"1476","朝霞市","トイレ","ポータブル式、ペット用","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"1477","朝霞市","トイレタンク","","","","","","","","","","","◎","",""
"1478","朝霞市","トイレットペーパーの芯","","","","","","","◎","","","","","",""
"1479","朝霞市","トイレブラシ","","","","◎","","","","","","","","",""
"1480","朝霞市","トイレブラシスタンド","","","","◎","","","","","","","","",""
"1481","朝霞市","トイレマット","","","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ。"
"1482","朝霞市","道着","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"1483","朝霞市","刀剣(レプリカ)","","","","○","","","","◎","","","","","収集時に危険のないよう、紙などに包み「キケン」と表示してください。50cm未満のものは不燃ごみ。"
"1484","朝霞市","投光器","業務用","","","","","","","","","","◎","",""
"1485","朝霞市","陶器(食器等)","","","","◎","","","","","","","","",""
"1486","朝霞市","透析バッグ、チューブ類","在宅医療用","","◎","","","","","","","","○","注射針、内蔵針が残っているものは不可。","注射針、内蔵針は取り外して掛かりつけの医療機関に返却してください。バッグ、チューブは50cm未満に切って可燃ごみ。"
"1487","朝霞市","道具箱","","","","◎","","","","○","","","○","仕事で使用したものは不可","50cm以上のものは粗大ごみ。"
"1488","朝霞市","豆腐の容器","","軟質プラスチック製","","","","◎","","","","","","","容器を軽く洗ってください。"
"1489","朝霞市","灯油","","","","","","","","","","","◎","","販売店・取扱店にお問合せください。"
"1490","朝霞市","灯油タンク","屋外固定式","","","","","","","","","","◎","","販売店・取扱店にお問合せください。"
"1491","朝霞市","灯油ポリタンク","18リットルまで","","","◎","","","","○","","","○","仕事で使用したものは不可","中身を空にしてください。18リットルまでは不燃ごみ。50㎝以上のものは粗大ごみ。"
"1492","朝霞市","灯油ポンプ","手動式","","","◎","","","","","","","","",""
"1493","朝霞市","灯油ポンプ","電動式","","","◎","","","","","☆","","","","電池を取り外してください。"
"1494","朝霞市","道路反射鏡","","","","","","","","","","","◎","",""
"1495","朝霞市","トースター","","","","◎","","","","","","","","",""
"1496","朝霞市","トートバッグ","","","◎","","","","","","","","","","50cm未満に切ってください。"
"1497","朝霞市","毒物類","","","","","","","","","","","◎","",""
"1498","朝霞市","時計","","","","◎","","","","○","☆","","","","50cm以上のものは粗大ごみ。電池式は電池を取り外してください。"
"1499","朝霞市","登山靴","","","◎","","","","","","","","","",""
"1500","朝霞市","戸棚","","","","","","","","◎","","","","作り付けのものは不可。",""
"1501","朝霞市","トタン板","","","","","","","","","","","◎","",""
"1502","朝霞市","徳利(とっくり)","酒器","陶磁器製、ガラス製","","◎","","","","","","","","",""
"1503","朝霞市","トナーカートリッジ","レーザープリンター用","","","","","","","","","","◎","","購入先、メーカーへ返却してください。"
"1504","朝霞市","土鍋","","","","◎","","","","","","","","",""
"1505","朝霞市","土のう袋","","","","","","","","","","","◎","",""
"1506","朝霞市","土瓶(どびん)","","","","◎","","","","","","","","",""
"1507","朝霞市","ドライバー","工具","","","◎","","","","","","","○","仕事で使用したものは不可","収集時に危険のないよう、紙などに包み「キケン」と表示してください。"
"1508","朝霞市","ドライブレコーダー","車載用","","","◎","","","","","☆","","","",""
"1509","朝霞市","ドライヤー","","","","◎","","","","","☆","","","",""
"1510","朝霞市","ドライワイパー","床清掃用","","","","","","","◎","","","","",""
"1511","朝霞市","ドラフター(製図台)","","","","","","","","","","","◎","",""
"1512","朝霞市","ドラム缶","","","","","","","","","","","◎","",""
"1513","朝霞市","ドラムセット","楽器","","","","","","","◎","","","","",""
"1514","朝霞市","ドラムコード(コードリール)","","","","","","","","","","","◎","",""
"1515","朝霞市","トランク(スーツケース)","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"1516","朝霞市","トランシーバー","電池式、充電式","","","◎","〇","","","","☆","","○","仕事で使用したものは不可
充電池内蔵式は有害ごみ","電池を取り外してください。"
"1517","朝霞市","トランジスタメガホン(拡声器)","電池式","","","◎","","","","","","","○","仕事で使用したものは不可","電池を取り外してください。"
"1518","朝霞市","トランプ","","紙製","","","","","◎","","","","","",""
"1519","朝霞市","トランプ","","プラスチック製","","◎","","","","","","","","",""
"1520","朝霞市","トランペット","楽器","","","","","","","◎","","","","",""
"1521","朝霞市","トランポリン","子供用","","","","","","","◎","","","","",""
"1522","朝霞市","鳥かご","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"1523","朝霞市","塗料","スプレー缶","","","","◎","","","","","○","○","仕事で使用したものは不可","事故の原因となるため、必ず中身を使い切ってください。他の有害ごみと分けて出してください。どうしても中身を使い切れない場合はクリーンセンターへ直接お持ちください。"
"1524","朝霞市","塗料(ペンキ)","固まっているもの","","○","","","","","","","","◎","仕事で使用したものは不可
液状のものは不可。","本来の用途で使い切ってください。使用しきれないものは購入先、メーカーなどへ問い合わせてください。"
"1525","朝霞市","塗料(ペンキ)の缶","刷毛塗り用","","","◎","","","","","","","○","仕事で使用したものは不可","必ず中身を使い切ってください。"
"1526","朝霞市","鳥除けネット(防鳥ネット)","","","○","","","","","◎","","","","","50cm未満に切れば可燃ごみ。"
"1527","朝霞市","ドリル(工具)","手動式","","","◎","","","","","","","○","仕事で使用したものは不可","収集時に危険のないよう、紙などに包み「キケン」と表示してください。"
"1528","朝霞市","ドリル(工具)","電動式","","","◎","","","","","☆","","○","仕事で使用したものは不可","収集時に危険のないよう、紙などに包み「キケン」と表示してください。"
"1529","朝霞市","ドリンクホルダー","","","","◎","","","","","","","○","自動車用純正部品は不可。",""
"1530","朝霞市","トレイ","食料品用","","","","","◎","","","","","","","容器を軽く洗ってください。"
"1531","朝霞市","トレーシングペーパー(硫酸紙)","","","◎","","","","","","","","","",""
"1532","朝霞市","トレーナー","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"1533","朝霞市","トレーニングマシーン","家庭用","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"1534","朝霞市","ドレッサー(鏡台)","","","","","","","","◎","","","","",""
"1535","朝霞市","ドレッシングの容器","","ガラス製","","◎","","","","","","","","","中身は使い切ってください。"
"1536","朝霞市","ドレッシングの容器","","プラスチック製","◎","","","","","","","","","","中身は使い切ってください。"
"1537","朝霞市","トレンチコート","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"1538","朝霞市","泥(汚泥)","","","","","","","","","","","◎","",""
"1539","朝霞市","泥落としマット(玄関マット)","屋外用","金属製、プラスチック製","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"1540","朝霞市","トロフィー","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"1541","朝霞市","トング","調理器具、清掃用具","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"1542","朝霞市","どんぶり","","","","◎","","","","","","","","",""
"1543","朝霞市","トンボ(レーキ)","整地用具","","","","","","","","","","◎","",""
"1544","朝霞市","ナイフ","刃物、食器","","","◎","","","","","","","","","収集時に危険のないよう、紙などに包み「キケン」と表示してください。"
"1545","朝霞市","ナイロンタオル(ボディータオル)","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"1546","朝霞市","苗木ポット(ビニールポット)","","","","","","◎","","","","","","","容器を洗ってください。"
"1547","朝霞市","長靴","","","◎","","","","","","","","","",""
"1548","朝霞市","長座布団","","","","","","","","◎","","","","",""
"1549","朝霞市","流し台","","","","","","","","","","","◎","",""
"1550","朝霞市","鉈(なた)","工具","","","◎","","","","○","","","○","仕事で使用したものは不可","収集時に危険のないよう、紙などに包み「キケン」と表示してください。50cm以上のものは粗大ごみ。"
"1551","朝霞市","捺印マット(印マット)","","","◎","","","","","","","","","",""
"1552","朝霞市","夏掛け布団","","","","","","","","◎","","","","",""
"1553","朝霞市","捺染紙(昇華転写紙、アイロンプリント紙)","","","◎","","","","","","","","","",""
"1554","朝霞市","ナット","","","","◎","","","","","","","○","仕事で使用したものは不可","透明袋に入れて出してください。"
"1555","朝霞市","納豆の容器","","発泡スチロール製","○","","","◎","","","","","","","容器の中を軽く洗ってください。汚れが取れない場合は可燃ごみ。"
"1556","朝霞市","鍋(なべ)","","","","◎","","","","","","","","",""
"1557","朝霞市","鍋敷き","","コルク製、木製、布製","◎","","","","","","","","","",""
"1558","朝霞市","鍋敷き","","金属製、陶磁器製","","◎","","","","","","","","",""
"1559","朝霞市","鍋つかみ","","布製","◎","","","","","","","","","",""
"1560","朝霞市","生ごみ","","","◎","","","","","","","","","","絞るなどよく水気を切って出してください。"
"1561","朝霞市","生ごみ処理機","電気式","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"1562","朝霞市","生ごみ処理容器(コンポスト)","","プラスチック製","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"1563","朝霞市","波板(なまこ板)","","","","","","","","","","","◎","",""
"1564","朝霞市","縄","","","◎","","","","","○","","","","","50cm未満に切ってください。束ねただけのものは粗大ごみ。"
"1565","朝霞市","南京錠","","","","◎","","","","","","","","",""
"1566","朝霞市","ナンバリング","文房具","","","◎","","","","","","","","",""
"1567","朝霞市","南部鉄器(鉄瓶)","","","","◎","","","","","","","","",""
"1568","朝霞市","匂いのついた容器","","透明ガラス製","","◎","","","","","","","","","中身を使い切って容器の中を軽く洗ってください。"
"1569","朝霞市","匂いのついた容器","","乳白ガラス製","","◎","","","","","","","","","中身を使い切って容器の中を軽く洗ってください。"
"1570","朝霞市","匂いのついた容器","","プラスチック製","","◎","","","","","","","","","中身を使い切って容器の中を軽く洗ってください。"
"1571","朝霞市","匂いのついた容器","","ビニールチューブ製","◎","","","","","","","","","","中身は使い切ってください。"
"1572","朝霞市","匂いのついた容器","","紙製","◎","","","","","","","","","",""
"1573","朝霞市","握り寿司の中仕切り(バラン)","","","◎","","","","","","","","","",""
"1574","朝霞市","肉たたき(ミートハンマー)","調理器具","木製","◎","","","","","","","","","",""
"1575","朝霞市","肉たたき(ミートハンマー)","調理器具","金属製","","◎","","","","","","","","",""
"1576","朝霞市","24時間風呂","屋内設置型","","","○","","","","◎","","","○","浴室外設置型、パッキン等に石綿が使用されているものは不可。","50cm未満のものは不燃ごみ。"
"1577","朝霞市","ニス(塗料)","","","","","","","","","","","◎","",""
"1578","朝霞市","二段ベッド","","","","","","","","◎","","","","",""
"1579","朝霞市","ニッケル、カドミウム蓄電池","","","","","","","","","","","◎","","販売店への返却、リサイクル協力店の回収ボックスのご利用をお願いします。"
"1580","朝霞市","ニッパー","工具","","","◎","","","","","","","○","仕事で使用したものは不可","収集時に危険のないよう、紙などに包み「キケン」と表示してください。"
"1581","朝霞市","荷札","","","","","","","◎","","","","","","針金部分は取り外して不燃ごみ。"
"1582","朝霞市","入浴剤","","","◎","","","","","","","","","",""
"1583","朝霞市","二輪車(バイク)","","","","","","","","","","","◎","","バイク本体については、「二輪車リサイクルシステム」コールセンター(℡050-3000-0727)までお問い合わせください。ホームページURLはhttp://www.jarc.or.jp/motorcycleです。バイク部品については、販売店、専門の処理業者又は朝霞市の一般廃棄物処理許可業者にご相談ください。"
"1584","朝霞市","人形","","布製、木製","◎","","","","","○","","","","","50cm以上のものは粗大ごみ。"
"1585","朝霞市","人形","","陶磁器製、ガラス製、ビニール製、プラスチック製","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"1586","朝霞市","人形ケース","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"1587","朝霞市","ぬいぐるみ","","","◎","","","","","○","","","","","50cm以上のものは粗大ごみ。"
"1588","朝霞市","縫い針","","","","◎","","","","","","","","","収集時に危険のないよう、紙などに包み「キケン」と表示してください。"
"1589","朝霞市","糠(ぬか)","","","◎","","","","","","","","","","絞るなどよく水気を切って出してください。"
"1590","朝霞市","布粘着テープ(ガムテープ)","","","◎","","","","","","","","","",""
"1591","朝霞市","布類","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"1592","朝霞市","ネイルチップ(付け爪)","","","","◎","","","","","","","","",""
"1593","朝霞市","ネガフィルム","写真用","","◎","","","","","","","","","",""
"1594","朝霞市","ネクタイ","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"1595","朝霞市","ネクタイハンガー","","","","◎","","","","","","","","",""
"1596","朝霞市","猫車(作業用一輪車)","","","","","","","","","","","◎","",""
"1597","朝霞市","猫砂","生分解性物質系、シリカゲル系","","◎","","","","","","","","○","ベントナイト系は不可。","少量ずつ出してください。"
"1598","朝霞市","猫砂","ベントナイト系","","","","","","","","","","◎","",""
"1599","朝霞市","ねじ","","","","◎","","","","","","","","","透明袋に入れて出してください。"
"1600","朝霞市","ネズミ捕り","粘着テープ式","","◎","","","","","","","","","",""
"1601","朝霞市","ネズミ捕り","","金属製","","◎","","","","","","","","",""
"1602","朝霞市","ネックウォーマー","防寒用","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"1603","朝霞市","ネックレス","装身具","","","◎","","","","","","","","",""
"1604","朝霞市","ネット(網)","鳥除け用等","プラスチック製","○","","","","","◎","","","○","仕事で使用したものは不可
金属製は不可。","50cm未満に切れば可燃ごみ。"
"1605","朝霞市","ネット(網)","果物用、野菜用","","","","","◎","","","","","○","仕事で使用したものは不可",""
"1606","朝霞市","ネットスポンジ","清掃用、食器用、風呂用等","","◎","","","","","","","","","",""
"1607","朝霞市","ネットフェンス","外構用","","","","","","","","","","◎","",""
"1608","朝霞市","寝袋(シュラフ)","アウトドア用","","","","","","","◎","","","","",""
"1609","朝霞市","練り朱肉(印泥)","書画落款用","","◎","","","","","","","","","","陶器製等の容器は不燃ごみ。"
"1610","朝霞市","粘着カーペットクリーナー","","","○","◎","","","","","","","","","粘着テープ部分は可燃ごみ。"
"1611","朝霞市","粘着テープ","ガムテープ等","","◎","","","","","","","","","",""
"1612","朝霞市","粘着フック","","","","◎","","","","","","","","",""
"1613","朝霞市","粘土","油粘土・紙粘土以外","","","","","","","","","","◎","",""
"1614","朝霞市","粘土板","","木製","◎","","","","","","","","","",""
"1615","朝霞市","粘土板","","プラスチック製","","◎","","","","","","","","",""
"1616","朝霞市","粘土へら","","木製","◎","","","","","","","","","",""
"1617","朝霞市","粘土へら","","プラスチック製、金属製","","◎","","","","","","","","",""
"1618","朝霞市","燃料携行缶","ガソリン用等","","","◎","","","","○","","","○","仕事で使用したものは不可","事故の原因となるため、必ず中身を使い切ってください。50cm以上のものは粗大ごみ。"
"1619","朝霞市","農機具","耕運機、茶刈機等","","","","","","","","","","◎","",""
"1620","朝霞市","農業用ビニール(マルチシート)","","","","","","","","","","","◎","",""
"1621","朝霞市","農薬","","","","","","","","","","","◎","","購入先、メーカーなどへ問い合わせてください。"
"1622","朝霞市","農薬の容器","","","","","","","","","","","◎","","購入先、メーカーなどへ問い合わせてください。"
"1623","朝霞市","ノート","","","","","","","◎","","","","","",""
"1624","朝霞市","ノートパソコン","","","","","","","","","☆","◎","○","仕事で使用したものは不可","記録を完全に消去し、クリーンセンターへ直接持ち込むか、メーカー又は一般社団法人パソコン3R推進協会(℡03-5282-7685)に問い合わせる。"
"1625","朝霞市","ノギス","工具","","","◎","","","","","","","○","仕事で使用したものは不可",""
"1626","朝霞市","鋸(のこぎり)","工具","","","◎","","","","","","","○","仕事で使用したものは不可","収集時に危険のないよう、紙などに包み「キケン」と表示してください。"
"1627","朝霞市","のぼり旗","","","","","","","","","","","◎","",""
"1628","朝霞市","のぼり旗ポール","","","","","","","","","","","◎","",""
"1629","朝霞市","のぼり旗ポール台(注水台)","","","","","","","","","","","◎","",""
"1630","朝霞市","のみ","工具","","","◎","","","","","","","○","仕事で使用したものは不可","収集時に危険のないよう、紙などに包み「キケン」と表示してください。"
"1631","朝霞市","暖簾(のれん)","","","◎","","","","","","","","○","店舗名、商品名、それらのロゴ等の入ったものは不可。","50cm未満に切ってください。"
"1632","朝霞市","ノンカーボン紙","","","◎","","","","","","","","","",""
"1633","朝霞市","ノンフライヤー(電気フライヤー)","調理器具","","","◎","","","","","","","","",""
"1634","朝霞市","パーティション(間仕切り)","","","","","","","","","","","◎","",""
"1635","朝霞市","ハードコンテナ","折りたたみ式","","","○","","","","◎","","","○","仕事で使用したものは不可","50cm未満のものは不燃ごみ。"
"1636","朝霞市","ハーネス","ペット用","","◎","○","","","","","","","","","50cm未満に切ってください。金具が取り外せない場合は不燃ごみ。"
"1637","朝霞市","バーベキュー網","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"1638","朝霞市","バーベキューコンロ","","","","○","","","","◎","","","○","テーブル一体型、ドラム缶型等、大型のものは不可。","50cm未満のものは不燃ごみ。"
"1639","朝霞市","バーベキュー鉄板","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"1640","朝霞市","バーベル(おもり)","2kg以下","","","◎","","","","","","","○","2kgを超えるものは不可。",""
"1641","朝霞市","バーベル(シャフト)","厚み2cm未満(中空のもの)","金属製","","○","","","","◎","","","","厚み2cmを超えるものは不可。","50cm未満のものは不燃ごみ。"
"1642","朝霞市","ハーモニカ","楽器","","","◎","","","","","","","","",""
"1643","朝霞市","バール(釘抜き)","工具","","","◎","","","","","","","○","仕事で使用したものは不可","収集時に危険のないよう、紙などに包み「キケン」と表示してください。"
"1644","朝霞市","灰","香炉灰","","◎","","","","","","","","○","香炉灰以外のものは不可。","十分水で濡らして出してください。"
"1645","朝霞市","バイク(二輪車)","","","","","","","","","","","◎","","バイク本体については、「二輪車リサイクルシステム」コールセンター(℡050-3000-0727)までお問い合わせください。ホームページURLはhttp://www.jarc.or.jp/motorcycleです。バイク部品については、販売店、専門の処理業者又は朝霞市の一般廃棄物処理許可業者にご相談ください。"
"1646","朝霞市","バイク部品","タイヤ、マフラー等","","","","","","","","","","◎","",""
"1647","朝霞市","灰皿","卓上用","","","◎","","","","","","","","",""
"1648","朝霞市","灰皿","スタンド式","","","","","","","","","","◎","",""
"1649","朝霞市","ハイヒール","","","◎","","","","","","","","","",""
"1650","朝霞市","パイプ","配管用","","","","","","","","","","◎","",""
"1651","朝霞市","パイプ(キセル)","喫煙用","","","◎","","","","","","","","",""
"1652","朝霞市","パイプ椅子","","","","","","","","","","","◎","",""
"1653","朝霞市","パイプ式ファイル","文房具","","","◎","","","","","","","","",""
"1654","朝霞市","パイプハンガー","","","","","","","","◎","","","","",""
"1655","朝霞市","パイプベッド","","","","","","","","◎","","","","",""
"1656","朝霞市","パイプラック","厚さ2cm未満、長さ180cm未満","","","○","","","","◎","","","○","建材、長さ180cm以上のものは不可。","50cm未満のものは不燃ごみ。"
"1657","朝霞市","廃油","機械油、鉱油等","","","","","","","","","","◎","",""
"1658","朝霞市","廃油","食用","","◎","","","","","","","","○","液体のままのものは不可。","油固化剤で固めるか、古紙、古布等に染み込ませてください。"
"1659","朝霞市","廃油処理箱(オイルパック)","","","◎","","","","","","","","","","４リットル以下１箱まで"
"1660","朝霞市","パイロン(三角コーン、カラーコーン)","","","","○","","","","◎","","","○","仕事で使用したものは不可","50cm未満のものは不燃ごみ。"
"1661","朝霞市","バインダー","","紙製","","○","","","◎","","","","○","仕事で使用したものは不可","留め具は取り外して不燃ごみ。留め具を取り外せない場合は不燃ごみ。"
"1662","朝霞市","バインダー","","プラスチック製","","◎","","","","","","","","",""
"1663","朝霞市","パウチフィルム(ラミネートフィルム)","","","◎","","","","","","","","○","仕事で使用したものは不可",""
"1664","朝霞市","パウチラミネーター(ラミネーター)","家庭用","","","◎","","","","○","☆","","○","仕事で使用したものは不可","50cm以上のものは粗大ごみ。"
"1665","朝霞市","ハエたたき","","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"1666","朝霞市","ハエ帳","食卓用","","","○","","","","◎","","","","","50cm未満のものは不燃ごみ。"
"1667","朝霞市","はがき","","","","","","","◎","","","","","",""
"1668","朝霞市","袴(はかま)","","","","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"1669","朝霞市","はかり(計量器)","調理用、郵便物用等","","","◎","","","","","","","○","仕事で使用したものは不可",""
"1670","朝霞市","はかり(計量器)","調理用、郵便物用等","(電池式)","","◎","","","","","☆","","○","仕事で使用したものは不可","電池を取り外してください。"
"1671","朝霞市","剥製(はくせい)","","","◎","","","","","○","","","","","50cm以上のものは粗大ごみ。"
"1672","朝霞市","白熱球","","","","◎","","","","","","","","",""
"1673","朝霞市","刷毛(はけ)","塗装用、調理用等","","◎","","","","","","","","○","仕事で使用したものは不可",""
"1674","朝霞市","バケツ","","","","◎","","","","","","","","",""
"1675","朝霞市","羽子板","","","◎","","","","","○","","","","","50cm以上のものは粗大ごみ。"
"1676","朝霞市","はさみ","","","","◎","","","","","","","","","収集時に危険のないよう、紙などに包み「キケン」と表示してください。"
"1677","朝霞市","箸(はし)","","木製","◎","","","","","","","","","",""
"1678","朝霞市","箸(はし)","","プラスチック製、金属製","","◎","","","","","","","","",""
"1679","朝霞市","箸置き","","木製","◎","","","","","","","","","",""
"1680","朝霞市","箸置き","","陶磁器・ガラス製、金属製","","◎","","","","","","","","",""
"1681","朝霞市","梯子(はしご)","180cm未満","","","","","","","","","","◎","",""
"1682","朝霞市","箸箱","","木製","◎","","","","","","","","","",""
"1683","朝霞市","箸箱","","プラスチック製、金属製","","◎","","","","","","","","",""
"1684","朝霞市","パジャマ","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"1685","朝霞市","柱","","","","","","","","","","","◎","",""
"1686","朝霞市","柱時計","機械式、電池式
","","","○","","","","◎","☆","","","","50cm未満のものは不燃ごみ。電池式は電池を取り外してください。"
"1687","朝霞市","バスクリーナー(風呂ブラシ)","","","","◎","","","","○","","","","","50cm以上のものは粗大ごみ。"
"1688","朝霞市","バスケットボール","","","◎","","","","","","","","","","中の空気を抜いてください。"
"1689","朝霞市","バスタオル","","","○","","","","◎","","","","","","著しく汚損しているものは50cm未満に切って可燃ごみ。"
"1690","朝霞市","バスタブ(浴槽)","","","","","","","","","","","◎","",""
"1691","朝霞市","バスチェア(風呂椅子)","","","","◎","","","","","","","","",""
